Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
25;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
25;5;Greedy;[48, 8, 9, 10, 26];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
26;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
26;2;Greedy;[29, 30];[1.0, 0.9833333333333333]
26;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
26;3;Greedy;[29, 30, 31];[1.0, 0.9833333333333333, 0.9833333333333333]
26;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
26;4;Greedy;[29, 30, 31, 33];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
26;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
26;5;Greedy;[29, 30, 31, 33, 34];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
27;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
27;2;Greedy;[49, 24];[1.0, 0.9672131147540983]
27;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
27;3;Greedy;[49, 24, 25];[1.0, 0.9672131147540983, 0.9672131147540983]
27;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
27;4;Greedy;[49, 24, 25, 26];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
27;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
27;5;Greedy;[49, 24, 25, 26, 29];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
28;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
28;2;Greedy;[10, 1];[1.0, 0.0]
28;3;Greedy+ev+bw;[1, 2];[0.0, 0.0]
28;3;Greedy;[10, 1, 2];[1.0, 0.0, 0.0]
28;4;Greedy+ev+bw;[1, 2];[0.0, 0.0]
28;4;Greedy;[10, 1, 2, 3];[1.0, 0.0, 0.0, 0.0]
28;5;Greedy+ev+bw;[1, 2];[0.0, 0.0]
